Volunteer #	Mean Precision	 Precision Like Top1	  Precision Like Top3	  Precision Like Top5
1	0,65	0,8	0,73	0,56
2	0,72	1	0,933333333	0,92
3	0,44	0,6	0,8	0,8
4	0,627272727	0,8	0,666666667	0,52
5	0,7875	1	0,933333333	0,92
6	0,633970588	0,6	0,533333333	0,6
7	0,802097902	0,8	0,866666667	0,84
8	0,713888889	1	1	0,88
9	0,771692308	0,8	0,8	0,68
10	0,599404762	0,6	0,666666667	0,56
11	0,713888889	0,8	0,733333333	0,68
12	0,488928571	0,6	0,733333333	0,64
13	0,55	0,4	0,4	0,36
14	0,641575092	0,6	0,6	0,56
15	0,696428571	0,6	0,733333333	0,56
16	0,7125	1	1	0,96
17	0,903636364	0,6	0,866666667	0,92
18	0,975	1	1	0,8
19	0,633333333	0,6	0,666666667	0,72
20	0,628571429	1	0,733333333	0,72
