Volunteer #	Mean Precision	 Precision Like Top1	 Precision Like Top3	 Precision Like Top5
1	0,775	1	0,8	0,72
2	0,493333333	1	0,866666667	0,84
3	0,68	0,8	0,733333333	0,84
4	0,575757576	0,4	0,266666667	0,2
5	0,8	1	0,866666667	0,92
6	0,633970588	0,4	0,266666667	0,44
7	0,552214452	0,8	0,733333333	0,68
8	0,494444444	1	0,866666667	0,84
9	0,710153846	0,8	0,8	0,76
10	0,612619048	0,2	0,4	0,4
11	0,644444444	0,6	0,666666667	0,6
12	0,447857143	0,8	0,6	0,56
13	0,3625	0,6	0,333333333	0,32
14	0,593772894	0,8	0,666666667	0,52
15	0,442857143	0,6	0,466666667	0,44
16	0,6125	0,8	0,866666667	0,84
17	0,610909091	1	1	0,96
18	0,825	1	1	0,72
19	0,4	0,8	0,6	0,64
20	0,467857143	0,6	0,6	0,64
